agent_name,description,tools,category,model_hint,has_sensitive_data,recommended_action
analyst,Pre-planning consultant for requirements analysis — converts product scope into implementable acceptance criteria catching gaps before planning begins.,Read; Grep; Glob,planning,opus,no,PUBLISH
architect,Software architecture specialist for system design scalability and technical decision-making. Use PROACTIVELY when planning new features refactoring large systems or making architectural decisions.,Read; Grep; Glob,planning,opus,no,PUBLISH
build-error-resolver,Build and TypeScript error resolution specialist. Fixes build/type errors only with minimal diffs no architectural edits. Focuses on getting the build green quickly.,Read; Write; Edit; Bash; Grep; Glob,build-resolver,sonnet,no,PUBLISH
chief-of-staff,Personal communication chief of staff that triages email Slack LINE and Messenger. Classifies messages into 4 tiers generates draft replies and enforces post-send follow-through via hooks.,Read; Grep; Glob; Bash; Edit; Write,specialized,opus,no,SANITIZE_FIRST
clean-code-reviewer,Clean Code principles enforcement specialist. Reviews code for violations of Clean Code theory and best practices. Use PROACTIVELY after writing code.,Read; Grep; Glob; Bash,language-reviewer,inherit,no,PUBLISH
code-architect,Designs feature architectures by analyzing existing codebase patterns and conventions then providing implementation blueprints with concrete files interfaces data flow and build order.,Read; Grep; Glob; Bash,planning,sonnet,no,PUBLISH
code-explorer,Deeply analyzes existing codebase features by tracing execution paths mapping architecture layers and documenting dependencies to inform new development.,Read; Grep; Glob; Bash,planning,sonnet,no,PUBLISH
code-reviewer,Expert code review specialist. Proactively reviews code for quality security and maintainability. Use immediately after writing or modifying code. MUST BE USED for all code changes.,Read; Grep; Glob; Bash,language-reviewer,sonnet,no,PUBLISH
code-simplifier,Simplifies and refines code for clarity consistency and maintainability while preserving behavior. Focus on recently modified code unless instructed otherwise.,Read; Write; Edit; Bash; Grep; Glob,language-reviewer,sonnet,no,PUBLISH
comment-analyzer,Analyze code comments for accuracy completeness maintainability and comment rot risk.,Read; Grep; Glob; Bash,language-reviewer,sonnet,no,PUBLISH
conversation-analyzer,Analyze conversation transcripts to find behaviors worth preventing with hooks. Triggered by /hookify without arguments.,Read; Grep,orchestration,sonnet,no,PUBLISH
cpp-build-resolver,C++ build CMake and compilation error resolution specialist. Fixes build errors linker issues and template errors with minimal changes. Use when C++ builds fail.,Read; Write; Edit; Bash; Grep; Glob,build-resolver,sonnet,no,PUBLISH
cpp-reviewer,Expert C++ code reviewer specializing in memory safety modern C++ idioms concurrency and performance. Use for all C++ code changes.,Read; Grep; Glob; Bash,language-reviewer,sonnet,no,PUBLISH
critic,Work plan and code review expert — thorough structured multi-perspective review with Opus-level reasoning.,Read; Grep; Glob (disallowed: Write; Edit),planning,opus,no,PUBLISH
